sni_id,year,uppd_egen_fou
marknadsproduktion_varo,2007,
marknadsproduktion_varo,2009,
marknadsproduktion_varo,2011,
marknadsproduktion_varo,2013,
marknadsproduktion_varo,2015,
marknadsproduktion_varo,2017,8604
marknadsproduktion_varo,2019,10247
marknadsproduktion_varo,2021,4766
marknadsproduktion_varo,2023,14961
skog_gruv,2007,
skog_gruv,2009,
skog_gruv,2011,
skog_gruv,2013,
skog_gruv,2015,
skog_gruv,2017,14
skog_gruv,2019,42
skog_gruv,2021,
skog_gruv,2023,46
tillverkningsindustrin_c,2007,
tillverkningsindustrin_c,2009,
tillverkningsindustrin_c,2011,
tillverkningsindustrin_c,2013,
tillverkningsindustrin_c,2015,
tillverkningsindustrin_c,2017,8361
tillverkningsindustrin_c,2019,10001
tillverkningsindustrin_c,2021,4595
tillverkningsindustrin_c,2023,14699
livsmedel_dryck_tob,2007,
livsmedel_dryck_tob,2009,
livsmedel_dryck_tob,2011,
livsmedel_dryck_tob,2013,
livsmedel_dryck_tob,2015,
livsmedel_dryck_tob,2017,
livsmedel_dryck_tob,2019,
livsmedel_dryck_tob,2021,
livsmedel_dryck_tob,2023,24
tex_tra_graf,2007,
tex_tra_graf,2009,
tex_tra_graf,2011,
tex_tra_graf,2013,
tex_tra_graf,2015,
tex_tra_graf,2017,
tex_tra_graf,2019,
tex_tra_graf,2021,
tex_tra_graf,2023,3
industri_for_tra,2007,
industri_for_tra,2009,
industri_for_tra,2011,
industri_for_tra,2013,
industri_for_tra,2015,
industri_for_tra,2017,
industri_for_tra,2019,
industri_for_tra,2021,
industri_for_tra,2023,0
massa_papp,2007,
massa_papp,2009,
massa_papp,2011,
massa_papp,2013,
massa_papp,2015,
massa_papp,2017,
massa_papp,2019,
massa_papp,2021,
massa_papp,2023,2
kol_pet_kem,2007,
kol_pet_kem,2009,
kol_pet_kem,2011,
kol_pet_kem,2013,
kol_pet_kem,2015,
kol_pet_kem,2017,
kol_pet_kem,2019,238
kol_pet_kem,2021,12
kol_pet_kem,2023,190
farmaceutiska_basp,2007,
farmaceutiska_basp,2009,
farmaceutiska_basp,2011,
farmaceutiska_basp,2013,
farmaceutiska_basp,2015,
farmaceutiska_basp,2017,
farmaceutiska_basp,2019,373
farmaceutiska_basp,2021,
farmaceutiska_basp,2023,670
gummi,2007,
gummi,2009,
gummi,2011,
gummi,2013,
gummi,2015,
gummi,2017,9
gummi,2019,
gummi,2021,42
gummi,2023,3
icke_met_andra,2007,
icke_met_andra,2009,
icke_met_andra,2011,
icke_met_andra,2013,
icke_met_andra,2015,
icke_met_andra,2017,0
icke_met_andra,2019,
icke_met_andra,2021,
icke_met_andra,2023,4
metaller,2007,
metaller,2009,
metaller,2011,
metaller,2013,
metaller,2015,
metaller,2017,9
metaller,2019,
metaller,2021,25
metaller,2023,28
metall_dator_elap,2007,
metall_dator_elap,2009,
metall_dator_elap,2011,
metall_dator_elap,2013,
metall_dator_elap,2015,
metall_dator_elap,2017,1655
metall_dator_elap,2019,1955
metall_dator_elap,2021,1874
metall_dator_elap,2023,5215
metall_dator_elap_transp,2007,
metall_dator_elap_transp,2009,
metall_dator_elap_transp,2011,
metall_dator_elap_transp,2013,
metall_dator_elap_transp,2015,
metall_dator_elap_transp,2017,7991
metall_dator_elap_transp,2019,9184
metall_dator_elap_transp,2021,3948
metall_dator_elap_transp,2023,13748
industri_for_met,2007,
industri_for_met,2009,
industri_for_met,2011,
industri_for_met,2013,
industri_for_met,2015,
industri_for_met,2017,
industri_for_met,2019,
industri_for_met,2021,
industri_for_met,2023,916
datorer_elek,2007,
datorer_elek,2009,
datorer_elek,2011,
datorer_elek,2013,
datorer_elek,2015,
datorer_elek,2017,658
datorer_elek,2019,547
datorer_elek,2021,1277
datorer_elek,2023,1455
elapparatur,2007,
elapparatur,2009,
elapparatur,2011,
elapparatur,2013,
elapparatur,2015,
elapparatur,2017,
elapparatur,2019,
elapparatur,2021,
elapparatur,2023,187
ovrig_mask,2007,
ovrig_mask,2009,
ovrig_mask,2011,
